Year,Anomaly
1940,0.15
1941,0.22
1942,0
1943,0.06
1944,0.2
1945,0.12
1946,-0.11
1947,-0.01
1948,-0.04
1949,-0.09
1950,-0.09
1951,0.1
1952,0.07
1953,0.09
1954,-0.08
1955,-0.11
1956,-0.12
1957,0.01
1958,0.02
1959,0.08
1960,0.08
1961,0.05
1962,0.1
1963,0.04
1964,-0.01
1965,0
1966,0.09
1967,-0.02
1968,-0.05
1969,0.11
1970,0.03
1971,-0.01
1972,0.06
1973,0.15
1974,0.04
1975,0.04
1976,-0.03
1977,0.18
1978,0.06
1979,0.23
1980,0.27
1981,0.27
1982,0.19
1983,0.31
1984,0.16
1985,0.1
1986,0.13
1987,0.46
1988,0.39
1989,0.33
1990,0.36
1991,0.41
1992,0.13
1993,0.31
1994,0.32
1995,0.45
1996,0.35
1997,0.42
1998,0.7
1999,0.41
2000,0.41
2001,0.62
2002,0.59
2003,0.6
2004,0.33
2005,0.66
2006,0.55
2007,0.59
2008,0.57
2009,0.72
2010,0.67
2011,0.73
2012,0.64
2013,0.61
2014,0.62
2015,0.77
2016,0.86
2017,0.83
2018,0.8
2019,0.91
2020,0.91
2021,0.92
2022,0.89
2023,1.12
